sessionId,userId,gameModeName,gameTime,userType,entryTime,exitTime,duration,roomName,roomType,roomSequence,combatRoomNumber,dungeonRoomNumber,eventType,weaponName,total_damage,damage,ability_pyrosphere,ability_minigun,ability_machinegun,ability_bomb_blackhole,ability_bomb,ability_drone,ability_chakram,ability_smg_gleamtwins,ability_kusarigama,ability_chain_lightning,ability_ice_cube,ability_renew,ability_healing_mark,enemyKills,PartyMembers
01JJFE14YVESBKP8XZ9SA36FSN,01HV9SK9ZPM76W38DEAHGGK0J4,,,,2025-01-25 19:11:53.500000 UTC,2025-01-25 19:25:36.499000 UTC,822,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_ferrox,237292.0,57082.0,,,,,,,33438.0,146772.0,,,,,,5,2
01JJFECS5M073Y386SV9WTV8BP,01HWX1STGFTH8AZDPGY9F2R3AC,,,,2025-01-25 19:18:15.500000 UTC,2025-01-25 19:26:06.500000 UTC,471,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_demon,376073.0,199501.0,,,72739.0,,,,84835.0,,18998.0,,,,,5,1
01JJFEE57J95G5XY4X83TH2YGX,01HV7EMM1T9N4PMG1AA43HZNRJ,,,,2025-01-25 19:19:00.500000 UTC,2025-01-25 19:35:41.499000 UTC,1000,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,128594.0,23062.0,53482.0,,,,,,52050.0,,,,,,,3,5
01JJFEY9WXBYBQ68NMX18KDSNG,01HV7GY6HDDTQG9EYJ6MCRHTF6,,,,2025-01-25 19:27:49.500000 UTC,2025-01-25 19:37:20.499000 UTC,570,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_ferrox,148105.0,62730.0,54561.0,18493.0,,,12321.0,,,,,,,,,4,2
01JJFEY9WXBYBQ68NMX18KDSNG,01HV9SK9ZPM76W38DEAHGGK0J4,,,,2025-01-25 19:27:49.500000 UTC,2025-01-25 19:37:20.499000 UTC,570,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,245621.0,152111.0,,,,,27683.0,,65827.0,,,,,,,5,2
01JJFFNSXJT7H5SCTHCRCXCGY6,01HV7ENYBRENNXEGTMVFGHN2DZ,,,,2025-01-25 19:40:39.500000 UTC,2025-01-25 19:49:33.500000 UTC,534,DCCombatEmpty_Lush,combat_combat,0.0,1,1,abandoned,arms_gs_eclipse,17972.0,12265.0,,,5707.0,,,,,,,,,,,8,4
01JJFFNSXJT7H5SCTHCRCXCGY6,01HV9SK9ZPM76W38DEAHGGK0J4,,,,2025-01-25 19:40:39.500000 UTC,2025-01-25 19:49:33.500000 UTC,534,DCCombatEmpty_Lush,combat_combat,0.0,1,1,abandoned,arms_sword_ferrox,73350.0,51382.0,21968.0,,,,,,,,,,,,,8,4
01JJFFSQA7THT2J9R9TFW7083P,01JHF0279BQ392DY10F5729ZAK,,,,2025-01-25 19:42:47.500000 UTC,2025-01-25 19:54:53.500000 UTC,726,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_hammer_chronosteel,379009.0,183462.0,113135.0,,,,,,82412.0,,,,,,,8,1
01JJFGQPMC43FK15Z1590G096H,01HV7X0JR2X8PJ5Q9CE2YS0ADV,,,,2025-01-25 19:59:09.500000 UTC,2025-01-25 20:10:12.500000 UTC,663,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_demon,396358.0,199454.0,82566.0,,,,,,107450.0,,,,6888.0,,,11,1
01JJFE5DQJE03H24JG3M2B2KAK,01HVBGSFAV6X0RKWGJQXRC7RD8,,,,2025-01-25 19:14:14.500000 UTC,2025-01-25 19:17:56.500000 UTC,222,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_hammer_chronosteel,22177.0,17886.0,,,3811.0,480.0,,,,,,,,,,3,2
01JJFE5DQJE03H24JG3M2B2KAK,01JHDFBQJ575KVF36AJH86R4QW,,,,2025-01-25 19:14:14.500000 UTC,2025-01-25 19:17:56.500000 UTC,222,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_sword_chronosteel,6045.0,3335.0,,,,,,,,,,,2710.0,,,4,2
01JJFE5GADCEF6WK3SBNDPNMN2,01JHF0279BQ392DY10F5729ZAK,,,,2025-01-25 19:14:17.500000 UTC,2025-01-25 19:27:07.500000 UTC,770,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_hammer_chronosteel,415545.0,206652.0,84769.0,,,,,7569.0,116555.0,,,,,,,15,1
01JJFE9H9RTT2C3FYYN6VANJVH,01HWX67H14MBTQAJYKQE8GZ720,,,,2025-01-25 19:16:28.499000 UTC,2025-01-25 19:32:29.500000 UTC,961,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,89063.0,58716.0,,,30347.0,,,,,,,,,,,7,7
01JJFEWJQ037CJ12XSDJBE3GJR,01HV7EKXWQ792C35H78Q8TBWXZ,,,,2025-01-25 19:26:53.500000 UTC,2025-01-25 19:55:22.499000 UTC,1708,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,231513.0,115147.0,,,,,16766.0,,,75925.0,23675.0,,,,,6,3
01JJFEWJQ037CJ12XSDJBE3GJR,01J83BZ7C72G9TEKYB0CN0T6EM,,,,2025-01-25 19:26:53.500000 UTC,2025-01-25 19:55:22.499000 UTC,1708,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_greatsword_thornweave,139192.0,68027.0,555.0,,,,,,63514.0,,,,7096.0,,,14,3
01JJFEWJQ037CJ12XSDJBE3GJR,01J83BZ7QH4BDMZ0WN32NDW192,,,,2025-01-25 19:26:53.500000 UTC,2025-01-25 19:55:22.499000 UTC,1708,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_ferrox,274021.0,129320.0,,,25038.0,,,,99839.0,,19824.0,,,,,15,3
01JJFFNSXJT7H5SCTHCRCXCGY6,01HXJ4CQWP68GBW0694WX0QRTY,,,,2025-01-25 19:40:39.500000 UTC,2025-01-25 19:49:33.500000 UTC,534,DCCombatEmpty_Lush,combat_combat,0.0,1,1,abandoned,arms_axe_demon,106953.0,45350.0,7178.0,,5927.0,,,,,48498.0,,,,,,3,4
01JJFFSWG96BD9MC0776XBY7V8,01HVNP3P98BP7WKHQWKEDYW9VK,,,,2025-01-25 19:42:52.499000 UTC,2025-01-25 20:07:53.500000 UTC,1501,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ac0001,162782.0,57559.0,81466.0,23757.0,,,,,,,,,,,,12,5
01JJFFZ5HRSYZAM3NP6WF6J7NN,01HWX67H14MBTQAJYKQE8GZ720,,,,2025-01-25 19:45:46.499000 UTC,2025-01-25 19:58:05.499000 UTC,739,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,186744.0,51029.0,,15703.0,,,,,120012.0,,,,,,,2,5
